#pos_x    #pos_y
33       96
68       79
29       97
48       92
77       71
90       47
63       84
91       43
49       92
46       93
90       15
61       84
92       24
93       31
91       44
44       91
67       80
0       95
92       38
31       97
76       72
72       78
85       53
77       72
81       68
84       58
63       85
65       83
66       82
69       80
42       95
49       93
39       96
87       52
10       99
64       85
82       67
62       85
91       48
11       99
91       8
68       81
88       52
94       32
93       36
60       89
57       91
87       53
90       50
87       56
51       93
94       26
93       19
93       17
92       48
68       82
3       100
15       96
63       86
65       84
63       87
92       16
56       93
94       33
94       25
92       49
61       86
69       82
83       66
94       28
92       4
91       7
92       6
15       95
7       100
92       9
93       41
58       92
79       74
81       72
42       97
66       83
0       100
94       40
73       81
84       68
94       1
53       94
94       20
21       100
75       80
92       12
94       18
36       99
96       33
62       91
90       48
71       83
93       7
86       61
91       52
34       100
90       54
85       66
87       60
78       76
95       44
64       89
22       99
94       6
77       77
81       75
83       73
94       50
94       5
90       55
96       40
81       76
95       48
97       35
96       20
54       96
77       81
86       67
57       96
97       25
77       79
41       100
96       45
96       36
93       53
97       26
96       43
97       37
92       54
87       63
73       85
43       100
84       75
39       99
95       11
98       35
98       30
97       23
85       73
65       92
98       25
74       85
87       71
70       87
56       97
98       24
91       57
84       61
96       11
88       69
80       79
48       100
99       35
88       64
96       52
98       37
55       98
98       0
97       17
58       98
98       19
84       77
53       98
56       98
99       29
51       98
99       24
97       5
66       95
48       98
100       32
76       84
84       79
49       99
68       92
99       23
98       49
94       56
99       0
57       98
98       40
100       26
78       85
88       73
91       63
87       75
59       99
76       85
57       99
91       64
100       25
89       71
77       86
100       42
90       70
98       53
74       89
73       88
90       68
100       19
99       2
90       66
72       90
100       1
59       100
100       20
89       74
66       96
60       100
99       52
96       57
69       94
100       16
92       65
99       53
70       89
92       63
89       75
80       84
89       76
71       92
67       98
91       72
92       68
92       71
75       90
58       96
90       76
94       64
81       83
75       92
82       86
77       89
88       79
63       99
93       69
73       94
92       74
75       93
97       60
93       70
78       91
76       93
83       85
65       99
83       86
97       61
95       62
74       95
76       94
76       92
82       81
96       63
96       64
85       87
95       73
85       86
97       63
85       84
77       96
76       97
98       67
76       98
87       87
